method,n10_mean,n12_mean,n15_mean,n10_std,n12_std,n15_std
Held-Karp (optimal),2.904715967178345,3.222341227531433,3.4675718188285827,0.23737805879073015,0.28758830685542225,0.25809302026923653
Nearest Neighbor,3.1075606000000002,3.5438330000000002,3.9502778,0.26675667344274634,0.4908319754421058,0.35732206053819293
2-Opt,2.91188845,3.25235435,3.5033954,0.2316361868328165,0.3122094706397093,0.27674460244969545
Active Search (neural),2.9129124999046327,3.2270252823829653,3.471541965007782,0.23718462285501093,0.2930812340652931,0.26056089848874237

gap_vs_optimal_%,n10_mean,n12_mean,n15_mean,n10_std,n12_std,n15_std
Nearest Neighbor,7.047593129172192,9.678361329497829,14.038150032786618,4.464892497469384,8.21323472779328,8.008677221305641
2-Opt,0.26678771527930845,0.8789389909897573,1.0151592220768149,0.6679295010013323,1.5464909499615305,1.8241635412602597
Active Search (neural),0.2878762999406627,0.1324023832836912,0.11057695537612588,0.6350982854456115,0.3420743597092161,0.41953818420761957
